host,motivo
messageria2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
messageria3 ,Sem ICMP e SSH (possível offline/rota/firewall)
messageria4 ,Sem ICMP e SSH (possível offline/rota/firewall)
metrics-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mgmt-moniot-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mgmt-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p16 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p3 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p4 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p5 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p6 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p7 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p8 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-p9 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-16 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-7 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-8 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-data-prd-9 ,Sem ICMP e SSH (possível offline/rota/firewall)
Mobile-voice-hom2-1.scp ,Sem ICMP e SSH (possível offline/rota/firewall)
Mobile-voice-hom2-2.scp ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-16 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-7 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-8 ,Sem ICMP e SSH (possível offline/rota/firewall)
mobile-voice-prd-9 ,Sem ICMP e SSH (possível offline/rota/firewall)
mon_pain_ince_prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mon-estoque-eng ,Sem ICMP e SSH (possível offline/rota/firewall)
mongo-moniot-prd01 ,ICMP bloqueado (sem ping)
mongo-moniot-prd02 ,ICMP bloqueado (sem ping)
mongo-moniot-prd03 ,ICMP bloqueado (sem ping)
mongo-moniot-prd04 ,ICMP bloqueado (sem ping)
moni-odin-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
movel-radius-prd01.osc ,Sem ICMP e SSH (possível offline/rota/firewall)
ms-01-portal-hom-iot ,ICMP bloqueado (sem ping)
ms-02-portal-hom-iot ,ICMP bloqueado (sem ping)
msql01 ,Sem ICMP e SSH (possível offline/rota/firewall)
msqlhx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
multi-cloud-prd02.tenant0029 ,Sem ICMP e SSH (possível offline/rota/firewall)
mxtic-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mysqla1-moniot-prd01 ,ICMP bloqueado (sem ping)
mysqla2-moniot-prd02 ,ICMP bloqueado (sem ping)
mysqla2-moniot-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
mysql-moniot-hml01 ,ICMP bloqueado (sem ping)
mysql-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
mysql-moniot-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
mysql-moniot-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
mysql-moniot-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
nbumedia03 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-apm-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-colb1-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-colp1-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-colp1-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-dashboards-hml01 ,SSH 22 fechado/filtrado
nc-dashboards-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
nc-eventanalitics-webgui-hml01 ,SSH 22 fechado/filtrado
nc-probes-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
netctpx01.network.ctbc ,Sem ICMP e SSH (possível offline/rota/firewall)
nodehx02 ,Sem ICMP e SSH (possível offline/rota/firewall)
node-red-hom01 ,Sem ICMP e SSH (possível offline/rota/firewall)
node-red-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npapptit01 ,ICMP bloqueado (sem ping)
npi-clients-prd01- ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-identity-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-identity-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-spo-piaf-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-spo-piaf-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-spo-piaf-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-spo-piaf-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-236-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-inap-ula-238-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-log-agregator-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd012 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd013 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd09 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd10 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd11 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd14 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd15 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-spo-piaf-prd16 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-236-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-map-ula-238-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-proxy-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-proxy-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-replication-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-tst-pedrom ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-web-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
npp-web-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
ns1.cloudalgartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
ns1.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
ns2 ,Sem ICMP e SSH (possível offline/rota/firewall)
ns2.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
ntrp-soa-p01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ntr-soa-p02 ,Sem ICMP e SSH (possível offline/rota/firewall)
obadb.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
observion-sec_v267 ,Sem ICMP e SSH (possível offline/rota/firewall)
ocs-dbrac-236-prd03.ocs.algartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
ocs-dbrac-238-dg01.ocs.algartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
ocs-dbrac-238-dg03.ocs.algartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
ocs-dbrac-238-dg04.ocs.algartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
offline-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
onmsi-server-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ooam.cloudalgartelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
out-proxy-connect-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
out-proxy-connect-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
padtec-nms-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
painelbss ,Sem ICMP e SSH (possível offline/rota/firewall)
PaloAlto_api-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pcs44.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
phone2bapp01.intranet ,Sem ICMP e SSH (possível offline/rota/firewall)
phone2b-db01.intranet ,Sem ICMP e SSH (possível offline/rota/firewall)
pix-app-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl_apl_01.ctbc.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
PL_MRS-2_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL_MRS-3_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL_MRS-4_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl_sig_24_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl_sig_29_v203_ ,Sem ICMP e SSH (possível offline/rota/firewall)
pl_sig_41_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-back-grav-03 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-balancer-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-BALANCER-GRAV-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-BALANCER-GRAV-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-db-adm1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-gmlc-mob-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-gmlc-mob-2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-HOM-NV-APP-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-HOM-NV-MOB-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotapi-app-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotbr-app-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotbr-app-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotbr-app-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotbr-ms-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-iotbr-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-ivr-sdp-mob-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-ivr-sdp-mob-2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-ivr-sdp-mob-3.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-ivr-sdp-mob-4.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-lce-app-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-lce-app-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-lce-app-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-lce-app-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-log-indexer-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-log-kibana-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-APP-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-APP-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-APP-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-APP-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-nv-mob-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-2_ ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-nv-mob-3.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-nv-mob-5.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-nv-mob-6.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-nv-mob-7.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-NV-MOB-9 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl4-oferta-rel-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL4-PRD-USSD-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl5-eventos-prd13 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl5-kannel-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl5-psql-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
pl5-psql-2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
planeta-idp-hom-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
planeta-idp-hom-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
planeta-idp-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-camp-hom-mob-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-camp-hom-mob-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-central-hom-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-central-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-central-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
Pl-grav-adm-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-GRAV-SERV-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
Pl-ivr-app12 ,Sem ICMP e SSH (possível offline/rota/firewall)
Pl-ivr-app13 ,Sem ICMP e SSH (possível offline/rota/firewall)
Pl-ivr-app7 ,Sem ICMP e SSH (possível offline/rota/firewall)
Pl-ivr-app8 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-message-prd-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-prd-logging-interface-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-prd-search-engine-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-prd-search-engine-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-prd-search-engine-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-adm-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-adm-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-app-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-app-7 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-app-8 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-ivr-app-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-ivr-app-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-ivr-app-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-ivr-app-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-soa-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sdp-v4-soa-ati-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
PL-SIG_16 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sig-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sig-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sig-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
pl-sig-26 ,Sem ICMP e SSH (possível offline/rota/firewall)
policy-manager-prd01_v76 ,Sem ICMP e SSH (possível offline/rota/firewall)
portabgw01 ,Sem ICMP e SSH (possível offline/rota/firewall)
portabgw02 ,Sem ICMP e SSH (possível offline/rota/firewall)
portal-clientesb2b-frontend-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
portal-clientesb2b-frontend-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
portal-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
portalctbc04hmg_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
portalctbc06hmg_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
portal-odin-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
porthx01 ,ICMP bloqueado (sem ping)
porthx02 ,ICMP bloqueado (sem ping)
porthx03 ,ICMP bloqueado (sem ping)
porthx04 ,ICMP bloqueado (sem ping)
porthx05 ,ICMP bloqueado (sem ping)
porthx06 ,ICMP bloqueado (sem ping)
pprox.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
pprox-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
proventos-hom-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
provisioning-server-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
proxy-prd-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
prtpndb2bpx01 ,ICMP bloqueado (sem ping)
ptdashpx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ptloghx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-adm-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-db-1 ,ICMP bloqueado (sem ping)
pv4-camp-db-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-kannel-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-kannel-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-mob-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-mob-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-wfly-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-wfly-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-wso2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
pv4-camp-wso2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
ractelecom02-236-prd.dbtelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
ractelecom03-236-prd.dbtelecom.com.br ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-ciscoar-temp01_v90 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-hml03 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-acc-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-auth-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-auth-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-auth-hml03 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-auth-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
radius-iot-auth-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-Admin-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-Admin-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
