host,motivo
Rancher-Admin-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-master-stg03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-stg03 ,Sem ICMP e SSH (possível offline/rota/firewall)
Rancher-worker-stg04 ,Sem ICMP e SSH (possível offline/rota/firewall)
rbt-dbsrv-prd01-236_v203_v632 ,Sem ICMP e SSH (possível offline/rota/firewall)
rbt-mediasrv-prd01-236_v203_v632 ,Sem ICMP e SSH (possível offline/rota/firewall)
rbt-proxysrv-prd01-236_v203_v632 ,Sem ICMP e SSH (possível offline/rota/firewall)
replicadb.cloudalgartelecom ,Sem ICMP e SSH (possível offline/rota/firewall)
replicadb.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
repol01 ,Sem ICMP e SSH (possível offline/rota/firewall)
reposit-front-lgpd-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
rhua ,ICMP bloqueado (sem ping)
scm-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-diameter-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-diameter-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-diameter-prd-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-prd-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
scp-gw-http-prd-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
sdr-server-captura ,Sem ICMP e SSH (possível offline/rota/firewall)
sds-monitor-236-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
sendsms-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
sendsms-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
sendsms-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
sendsms-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-analytics-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace_prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace_prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace-fac ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace-piag-prd09 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace-ula07 ,Sem ICMP e SSH (possível offline/rota/firewall)
server-trace-ula08 ,Sem ICMP e SSH (possível offline/rota/firewall)
services-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
services-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
services-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
Servidor-RC-PHONE2BAPP02 ,Sem ICMP e SSH (possível offline/rota/firewall)
servidor-topologia-digital-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
sgprec01_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
sipcor-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smartsag-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smokeping-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-broker-hml01-ora ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-03 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-04 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-05 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-06 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-07 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-08 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-09 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-receiver-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-03 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-04 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-05 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-06 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-07 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-08 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-09 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-10 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-11 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-12 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-13 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-14 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-15 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-16 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-17 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-18 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-19 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-core-worker-20 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-data-server-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-map-03.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-map-04.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-map-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-map-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-proxy-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-proxy-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-proxy-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-proxy-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-receiver-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-receiver-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-03 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-04 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-services-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-03 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-04.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-06 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-smpp-hml03 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-worker-hml-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc2-worker-hml-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-broker ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-5 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-6 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-7 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-core-worker-8 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-data-server-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-data-server-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-hazelcast-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-hazelcast-2.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-hazelcast-3.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-hazelcast-4.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-hazelcast-5.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
smsc-map-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
smtp01 ,Sem ICMP e SSH (possível offline/rota/firewall)
soawsohom01 ,ICMP bloqueado (sem ping)
soawsohom02 ,ICMP bloqueado (sem ping)
som-prd-elk02 ,Sem ICMP e SSH (possível offline/rota/firewall)
spacecor ,Sem ICMP e SSH (possível offline/rota/firewall)
spacewalk-repo-prd01_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
spark-prd-worker01 ,Sem ICMP e SSH (possível offline/rota/firewall)
sportal-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
sps3-app-hml01-iot ,Sem ICMP e SSH (possível offline/rota/firewall)
sps3-app-hml02.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
sps3-app-prd01-iot ,Sem ICMP e SSH (possível offline/rota/firewall)
sps3-app-prd02-iot ,Sem ICMP e SSH (possível offline/rota/firewall)
sps-hom-ws01New ,Sem ICMP e SSH (possível offline/rota/firewall)
sps-hom-ws02New ,Sem ICMP e SSH (possível offline/rota/firewall)
sps-prd-ws01-NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
sps-prd-ws02New ,Sem ICMP e SSH (possível offline/rota/firewall)
srvphp-dev_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
SSM-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-hml01-NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-hml03 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
stream-moniot-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
subversion_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
syslog-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
syslog-srv01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tam-01.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-franca-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-franca-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-spo-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-spo-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-ula-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-ula-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
tcr-ula-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
teams-vsession-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
teams-vsession-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
teams-vsession-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
telegraf-gateway-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
telegraf-gateway-02.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
Terra-Form-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
terra-form-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tf-jenkins-crm-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tic-adm-bb-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
TNMSPX01 ,Sem ICMP e SSH (possível offline/rota/firewall)
TNMSPX02 ,Sem ICMP e SSH (possível offline/rota/firewall)
tokenhom01NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
tokenhom02New ,Sem ICMP e SSH (possível offline/rota/firewall)
tomcatas01hom_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
tomcatasprd02_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom06 ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom1_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom2_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
tools-telecom-cel03-prd_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
tools-telecom-cel04-prd_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom-cel-prd01_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom-cel-prd02_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom-cel-prd05_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom-cel-prd06_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
toolstelecom-cel-prd07_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu02 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu03 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu04 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu05 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu06 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu07 ,Sem ICMP e SSH (possível offline/rota/firewall)
tpdu08 ,Sem ICMP e SSH (possível offline/rota/firewall)
Tr069-Balancer-PRD01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tr069-logs-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
tr069-logs-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd04 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd05 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd07 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd08 ,Sem ICMP e SSH (possível offline/rota/firewall)
traffic-analyser-prd09 ,Sem ICMP e SSH (possível offline/rota/firewall)
tts ,Sem ICMP e SSH (possível offline/rota/firewall)
tts.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
usrv71 ,Sem ICMP e SSH (possível offline/rota/firewall)
ussd-center-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
ussd-center-02 ,Sem ICMP e SSH (possível offline/rota/firewall)
velocidade-spo ,Sem ICMP e SSH (possível offline/rota/firewall)
vEMS-238-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
vertica-prd01-ext4 ,Sem ICMP e SSH (possível offline/rota/firewall)
vertica-prd02-ext4 ,Sem ICMP e SSH (possível offline/rota/firewall)
vertica-prd03-ext4 ,Sem ICMP e SSH (possível offline/rota/firewall)
vertica-prd04.network.ctbc ,ICMP bloqueado (sem ping)
vertica-prd05.network.ctbc ,ICMP bloqueado (sem ping)
vertica-prd06.network.ctbc ,ICMP bloqueado (sem ping)
vigiahx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
vigiapx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
vigiapx02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_crm-prd-app02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_dmviewedb-spo_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_dns-cel02-prd ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_eb-hom-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_eb-hom-app02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_eb-hom-ws01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_eb-prd-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_eb-prd-app02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_jenkings-devops ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_misp-algar ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_monitoramento-algarcrm-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_msfranquia_hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_msfranquia_hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_msfranquia_prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_msfranquia_prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_oimprdidm1 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_oimprdidm2 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_POC_TR069_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_rhel-repo-cor ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_som-wf-hom01 ,Sem ICMP e SSH (possível offline/rota/firewall)
vm_tarifador_prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_tr069-utils ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_ubiquiti_prd ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_ula_proxy_02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_VGGWPRD01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_voipview_web ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_WEBDNS_ALGARSUL ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_webfranquia_hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_webfranquia_prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_webfranquia_prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_wlsim01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_zabbix-corp ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_zabbix-dbclientesv2-prd ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_zabbix-poller1-prod05 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM_zabbix-poller1-prod08 ,Sem ICMP e SSH (possível offline/rota/firewall)
vm1.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
vm1hx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
vm1px01 ,Sem ICMP e SSH (possível offline/rota/firewall)
vm-cacti-capacidade3 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM-IPTV-01 ,Sem ICMP e SSH (possível offline/rota/firewall)
VM-NSPAR ,Sem ICMP e SSH (possível offline/rota/firewall)
VM-NSSAR ,Sem ICMP e SSH (possível offline/rota/firewall)
VM-SRVTEL-AV02 ,Sem ICMP e SSH (possível offline/rota/firewall)
webfranquia-hml02 ,ICMP bloqueado (sem ping)
web-ui-hom-app01 ,ICMP bloqueado (sem ping)
web-ui-prd-app01 ,Sem ICMP e SSH (possível offline/rota/firewall)
wiki-repositorio ,Sem ICMP e SSH (possível offline/rota/firewall)
wlsapp01 ,ICMP bloqueado (sem ping)
wlsapp02 ,ICMP bloqueado (sem ping)
wlsservice01 ,ICMP bloqueado (sem ping)
wlsservice02 ,ICMP bloqueado (sem ping)
wlsservice03 ,ICMP bloqueado (sem ping)
wlsservice04 ,ICMP bloqueado (sem ping)
wsodsshom01 ,ICMP bloqueado (sem ping)
wsodsshom02 ,ICMP bloqueado (sem ping)
wsomsghom01 ,ICMP bloqueado (sem ping)
wsomsghom02 ,ICMP bloqueado (sem ping)
wsomysqlhom01 ,ICMP bloqueado (sem ping)
wsomysqlhom01-new ,Sem ICMP e SSH (possível offline/rota/firewall)
xdsl2-des ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-cor-srv-prd01_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdb03 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdb07 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdb10 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdbclientes02 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdbfontes_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbixdbhomo ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-mysql-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-noc-web ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-ondemand-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-cli-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-cli-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-cli-prd04 ,ICMP bloqueado (sem ping)
zabbix-poller-cor-prd01_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-cor-prd02_v203 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-itau-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-poller-tic-app02-desc ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-repo ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-report-server-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-sec ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-srv-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zabbix-web-prod01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxdbapx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxdbapx02 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxdbapx03 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxdbtic01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxprxtic03 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxprxtic04 ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxprxticcl ,Sem ICMP e SSH (possível offline/rota/firewall)
zbxsrvtic01 ,Sem ICMP e SSH (possível offline/rota/firewall)
zms-hom02 ,Sem ICMP e SSH (possível offline/rota/firewall)
zteftppx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
